id,inputs,reference_outputs,outputs,run,status,error,latency,tokens,total_cost,is_correct
0318e004-1661-437d-92de-776d3ab89c22,"{""context"": ""Games won by Nate's soccer team\n\n| Year | Games won |\n| --- | --- |\n| 2010 | 41 |\n| 2011 | 39 |\n| 2012 | 32 |\n| 2013 | 32 |\n| 2014 | 37 |\n"", ""question"": ""Nate kept track of the number of games his soccer team won each year. According to the table, what was the rate of change between 2012 and 2013?""}","{""answer"": ""0""}","{""final_answer"": ""0"", ""debug_count"": 0, ""response"": ""Multi-agent system with 0 debug iterations""}","{""inputs"": {""inputs"": {""context"": ""Games won by Nate's soccer team\n\n| Year | Games won |\n| --- | --- |\n| 2010 | 41 |\n| 2011 | 39 |\n| 2012 | 32 |\n| 2013 | 32 |\n| 2014 | 37 |\n"", ""question"": ""Nate kept track of the number of games his soccer team won each year. According to the table, what was the rate of change between 2012 and 2013?""}}, ""outputs"": {""final_answer"": ""0"", ""debug_count"": 0, ""response"": ""Multi-agent system with 0 debug iterations""}, ""session_id"": ""46bc5fcc-44ff-466e-9a4c-acd3349989d4"", ""error"": null, ""extra"": {""metadata"": {""revision_id"": null, ""num_repetitions"": 1, ""example_version"": ""2025-07-29T10:58:07.097016+00:00"", ""ls_method"": ""traceable"", ""LANGCHAIN_TRACING"": ""false"", ""LANGSMITH_PROJECT"": ""MathQA"", ""ls_example_dataset_split"": [""base""], ""ls_run_depth"": 0}, ""runtime"": {""sdk"": ""langsmith-py"", ""sdk_version"": ""0.3.45"", ""library"": ""langsmith"", ""platform"": ""Windows-10-10.0.19045-SP0"", ""runtime"": ""python"", ""py_implementation"": ""CPython"", ""runtime_version"": ""3.12.7"", ""langchain_version"": ""0.3.25"", ""langchain_core_version"": ""0.3.65""}}, ""run_type"": ""chain"", ""id"": ""92c1d683-79fc-4471-9f30-81917e050241"", ""status"": ""success""}",success,,2.307514906,822,0.0001575,1
036bbc11-b6c8-4403-a1d6-2d409035a8b7,"{""context"": ""Loaves of leftover bread\n\n| Day | Leftover loaves |\n| --- | --- |\n| Sunday | 23 |\n| Monday | 27 |\n| Tuesday | 7 |\n| Wednesday | 19 |\n| Thursday | 43 |\n"", ""question"": ""A vendor who sold bread at farmers' markets counted the number of leftover loaves at the end of each day. According to the table, what was the rate of change between Sunday and Monday?""}","{""answer"": ""4""}","{""final_answer"": ""4"", ""debug_count"": 0, ""response"": ""Multi-agent system with 0 debug iterations""}","{""inputs"": {""inputs"": {""context"": ""Loaves of leftover bread\n\n| Day | Leftover loaves |\n| --- | --- |\n| Sunday | 23 |\n| Monday | 27 |\n| Tuesday | 7 |\n| Wednesday | 19 |\n| Thursday | 43 |\n"", ""question"": ""A vendor who sold bread at farmers' markets counted the number of leftover loaves at the end of each day. According to the table, what was the rate of change between Sunday and Monday?""}}, ""outputs"": {""final_answer"": ""4"", ""debug_count"": 0, ""response"": ""Multi-agent system with 0 debug iterations""}, ""session_id"": ""46bc5fcc-44ff-466e-9a4c-acd3349989d4"", ""error"": null, ""extra"": {""metadata"": {""revision_id"": null, ""num_repetitions"": 1, ""example_version"": ""2025-07-29T10:58:07.097016+00:00"", ""ls_method"": ""traceable"", ""LANGCHAIN_TRACING"": ""false"", ""LANGSMITH_PROJECT"": ""MathQA"", ""ls_example_dataset_split"": [""base""], ""ls_run_depth"": 0}, ""runtime"": {""sdk"": ""langsmith-py"", ""sdk_version"": ""0.3.45"", ""library"": ""langsmith"", ""platform"": ""Windows-10-10.0.19045-SP0"", ""runtime"": ""python"", ""py_implementation"": ""CPython"", ""runtime_version"": ""3.12.7"", ""langchain_version"": ""0.3.25"", ""langchain_core_version"": ""0.3.65""}}, ""run_type"": ""chain"", ""id"": ""ac00213b-ffa7-4e09-b74a-ae9c47220517"", ""status"": ""success""}",success,,2.41723299,816,0.0001566,1
04354c2b-663e-46f5-ba4e-1aa96124198d,"{""context"": ""| Number of bushes | Number of flowers |\n| --- | --- |\n| 1 | 2 |\n| 2 | 4 |\n| 3 | 6 |\n| 4 | ? |\n"", ""question"": ""Each bush has 2 flowers. How many flowers are on 4 bushes?""}","{""answer"": ""8""}","{""final_answer"": ""8"", ""debug_count"": 0, ""response"": ""Multi-agent system with 0 debug iterations""}","{""inputs"": {""inputs"": {""context"": ""| Number of bushes | Number of flowers |\n| --- | --- |\n| 1 | 2 |\n| 2 | 4 |\n| 3 | 6 |\n| 4 | ? |\n"", ""question"": ""Each bush has 2 flowers. How many flowers are on 4 bushes?""}}, ""outputs"": {""final_answer"": ""8"", ""debug_count"": 0, ""response"": ""Multi-agent system with 0 debug iterations""}, ""session_id"": ""46bc5fcc-44ff-466e-9a4c-acd3349989d4"", ""error"": null, ""extra"": {""metadata"": {""revision_id"": null, ""num_repetitions"": 1, ""example_version"": ""2025-07-29T10:58:07.097016+00:00"", ""ls_method"": ""traceable"", ""LANGCHAIN_TRACING"": ""false"", ""LANGSMITH_PROJECT"": ""MathQA"", ""ls_example_dataset_split"": [""base""], ""ls_run_depth"": 0}, ""runtime"": {""sdk"": ""langsmith-py"", ""sdk_version"": ""0.3.45"", ""library"": ""langsmith"", ""platform"": ""Windows-10-10.0.19045-SP0"", ""runtime"": ""python"", ""py_implementation"": ""CPython"", ""runtime_version"": ""3.12.7"", ""langchain_version"": ""0.3.25"", ""langchain_core_version"": ""0.3.65""}}, ""run_type"": ""chain"", ""id"": ""908a261b-4d02-4563-8e92-1c50febdb0d7"", ""status"": ""success""}",success,,1.932461023,972,0.00014415,1
044f0ba1-6930-449f-aa0c-2856ea8d0d2e,"{""context"": ""| Column 1 | Column 2 |\n| --- | --- |\n| large yellow envelope | $0.17 |\n| small red box | $0.65 |\n| sheet of animal stamps | $0.50 |\n| mountain postcard | $0.51 |\n| rose stamp | $0.30 |\n"", ""question"": ""How much more does a mountain postcard cost than a rose stamp?""}","{""answer"": ""0.21""}","{""final_answer"": ""0.21000000000000002"", ""debug_count"": 0, ""response"": ""Multi-agent system with 0 debug iterations""}","{""inputs"": {""inputs"": {""context"": ""| Column 1 | Column 2 |\n| --- | --- |\n| large yellow envelope | $0.17 |\n| small red box | $0.65 |\n| sheet of animal stamps | $0.50 |\n| mountain postcard | $0.51 |\n| rose stamp | $0.30 |\n"", ""question"": ""How much more does a mountain postcard cost than a rose stamp?""}}, ""outputs"": {""final_answer"": ""0.21000000000000002"", ""debug_count"": 0, ""response"": ""Multi-agent system with 0 debug iterations""}, ""session_id"": ""46bc5fcc-44ff-466e-9a4c-acd3349989d4"", ""error"": null, ""extra"": {""metadata"": {""revision_id"": null, ""num_repetitions"": 1, ""example_version"": ""2025-07-29T10:58:07.097016+00:00"", ""ls_method"": ""traceable"", ""LANGCHAIN_TRACING"": ""false"", ""LANGSMITH_PROJECT"": ""MathQA"", ""ls_example_dataset_split"": [""base""], ""ls_run_depth"": 0}, ""runtime"": {""sdk"": ""langsmith-py"", ""sdk_version"": ""0.3.45"", ""library"": ""langsmith"", ""platform"": ""Windows-10-10.0.19045-SP0"", ""runtime"": ""python"", ""py_implementation"": ""CPython"", ""runtime_version"": ""3.12.7"", ""langchain_version"": ""0.3.25"", ""langchain_core_version"": ""0.3.65""}}, ""run_type"": ""chain"", ""id"": ""70ae93bd-6774-4c0c-9640-e96e0412a053"", ""status"": ""success""}",success,,1.722496033,788,0.0001452,1
04e7c912-4a76-41c0-8fbf-0da3d9eaef3f,"{""context"": ""Children's weights (lbs)\n\n| Stem | Leaf  |\n| --- | --- |\n| 2 | 8 |\n| 3 | 1, 7 |\n| 4 |  |\n| 5 | 5 |\n| 6 | 7 |\n| 7 | 1, 8 |\n| 8 | 0 |\n"", ""question"": ""Dr. Wilkinson, a pediatrician, weighed all the children who recently visited her office. How many children weighed at least 50 pounds?""}","{""answer"": ""5""}","{""final_answer"": ""5"", ""debug_count"": 0, ""response"": ""Multi-agent system with 0 debug iterations""}","{""inputs"": {""inputs"": {""context"": ""Children's weights (lbs)\n\n| Stem | Leaf  |\n| --- | --- |\n| 2 | 8 |\n| 3 | 1, 7 |\n| 4 |  |\n| 5 | 5 |\n| 6 | 7 |\n| 7 | 1, 8 |\n| 8 | 0 |\n"", ""question"": ""Dr. Wilkinson, a pediatrician, weighed all the children who recently visited her office. How many children weighed at least 50 pounds?""}}, ""outputs"": {""final_answer"": ""5"", ""debug_count"": 0, ""response"": ""Multi-agent system with 0 debug iterations""}, ""session_id"": ""46bc5fcc-44ff-466e-9a4c-acd3349989d4"", ""error"": null, ""extra"": {""metadata"": {""revision_id"": null, ""num_repetitions"": 1, ""example_version"": ""2025-07-29T10:58:07.097016+00:00"", ""ls_method"": ""traceable"", ""LANGCHAIN_TRACING"": ""false"", ""LANGSMITH_PROJECT"": ""MathQA"", ""ls_example_dataset_split"": [""base""], ""ls_run_depth"": 0}, ""runtime"": {""sdk"": ""langsmith-py"", ""sdk_version"": ""0.3.45"", ""library"": ""langsmith"", ""platform"": ""Windows-10-10.0.19045-SP0"", ""runtime"": ""python"", ""py_implementation"": ""CPython"", ""runtime_version"": ""3.12.7"", ""langchain_version"": ""0.3.25"", ""langchain_core_version"": ""0.3.65""}}, ""run_type"": ""chain"", ""id"": ""d7ca161e-8f75-4b8c-b506-a64aa6d8ee10"", ""status"": ""success""}",success,,4.161860943,913,0.00020985,1
05f7fa8e-2995-4dfb-8d9e-8a9e19f71cc8,"{""context"": ""Company sizes\n\n| Company | Number of employees |\n| --- | --- |\n| Bronson Attorneys | 4,452 |\n| Madison Corporation | 5,465 |\n| Downtown Publishing | 7,421 |\n"", ""question"": ""The board of commerce recorded how many employees work at each company. How many more employees work at Downtown Publishing than at Madison Corporation?""}","{""answer"": ""1956""}","{""final_answer"": ""1956"", ""debug_count"": 0, ""response"": ""Multi-agent system with 0 debug iterations""}","{""inputs"": {""inputs"": {""context"": ""Company sizes\n\n| Company | Number of employees |\n| --- | --- |\n| Bronson Attorneys | 4,452 |\n| Madison Corporation | 5,465 |\n| Downtown Publishing | 7,421 |\n"", ""question"": ""The board of commerce recorded how many employees work at each company. How many more employees work at Downtown Publishing than at Madison Corporation?""}}, ""outputs"": {""final_answer"": ""1956"", ""debug_count"": 0, ""response"": ""Multi-agent system with 0 debug iterations""}, ""session_id"": ""46bc5fcc-44ff-466e-9a4c-acd3349989d4"", ""error"": null, ""extra"": {""metadata"": {""revision_id"": null, ""num_repetitions"": 1, ""example_version"": ""2025-07-29T10:58:07.097016+00:00"", ""ls_method"": ""traceable"", ""LANGCHAIN_TRACING"": ""false"", ""LANGSMITH_PROJECT"": ""MathQA"", ""ls_example_dataset_split"": [""base""], ""ls_run_depth"": 0}, ""runtime"": {""sdk"": ""langsmith-py"", ""sdk_version"": ""0.3.45"", ""library"": ""langsmith"", ""platform"": ""Windows-10-10.0.19045-SP0"", ""runtime"": ""python"", ""py_implementation"": ""CPython"", ""runtime_version"": ""3.12.7"", ""langchain_version"": ""0.3.25"", ""langchain_core_version"": ""0.3.65""}}, ""run_type"": ""chain"", ""id"": ""d5d94224-f8b5-4cec-a08f-412d1ed6612f"", ""status"": ""success""}",success,,1.606904984,977,0.00014175,1
06c93410-7060-4932-91d2-e738be1d52b6,"{""context"": ""Nobel Prize winners\n\n| Column 1 | Column 2 | Column 3 |\n| --- | --- | --- |\n| Country | 1970s | 1980s |\n| Holland | 2 | 2 |\n| Germany | 9 | 11 |\n| France | 3 | 5 |\n| Russia | 5 | 1 |\n"", ""question"": ""For an assignment, Nicole looked at which countries got the most Nobel Prizes in various decades. In the 1980s, how many more Nobel Prize winners did France have than Russia?""}","{""answer"": ""4""}","{""final_answer"": ""4"", ""debug_count"": 0, ""response"": ""Multi-agent system with 0 debug iterations""}","{""inputs"": {""inputs"": {""context"": ""Nobel Prize winners\n\n| Column 1 | Column 2 | Column 3 |\n| --- | --- | --- |\n| Country | 1970s | 1980s |\n| Holland | 2 | 2 |\n| Germany | 9 | 11 |\n| France | 3 | 5 |\n| Russia | 5 | 1 |\n"", ""question"": ""For an assignment, Nicole looked at which countries got the most Nobel Prizes in various decades. In the 1980s, how many more Nobel Prize winners did France have than Russia?""}}, ""outputs"": {""final_answer"": ""4"", ""debug_count"": 0, ""response"": ""Multi-agent system with 0 debug iterations""}, ""session_id"": ""46bc5fcc-44ff-466e-9a4c-acd3349989d4"", ""error"": null, ""extra"": {""metadata"": {""revision_id"": null, ""num_repetitions"": 1, ""example_version"": ""2025-07-29T10:58:07.097016+00:00"", ""ls_method"": ""traceable"", ""LANGCHAIN_TRACING"": ""false"", ""LANGSMITH_PROJECT"": ""MathQA"", ""ls_example_dataset_split"": [""base""], ""ls_run_depth"": 0}, ""runtime"": {""sdk"": ""langsmith-py"", ""sdk_version"": ""0.3.45"", ""library"": ""langsmith"", ""platform"": ""Windows-10-10.0.19045-SP0"", ""runtime"": ""python"", ""py_implementation"": ""CPython"", ""runtime_version"": ""3.12.7"", ""langchain_version"": ""0.3.25"", ""langchain_core_version"": ""0.3.65""}}, ""run_type"": ""chain"", ""id"": ""9c976131-b853-47bf-9170-8da5e637740d"", ""status"": ""success""}",success,,1.975814819,827,0.0001524,1
0775114e-639a-4c53-b471-3a34a1eee816,"{""context"": ""Sticker collections\n\n| Name | Number of stickers |\n| --- | --- |\n| Lisa | 2,887 |\n| Wanda | 2,123 |\n| Sandeep | 5,435 |\n| Elizabeth | 2,105 |\n| Dakota | 2,387 |\n"", ""question"": ""Some friends compared the sizes of their sticker collections. If you combine their sticker collections, how many stickers do Lisa and Sandeep have?""}","{""answer"": ""8322""}","{""final_answer"": ""8322"", ""debug_count"": 0, ""response"": ""Multi-agent system with 0 debug iterations""}","{""inputs"": {""inputs"": {""context"": ""Sticker collections\n\n| Name | Number of stickers |\n| --- | --- |\n| Lisa | 2,887 |\n| Wanda | 2,123 |\n| Sandeep | 5,435 |\n| Elizabeth | 2,105 |\n| Dakota | 2,387 |\n"", ""question"": ""Some friends compared the sizes of their sticker collections. If you combine their sticker collections, how many stickers do Lisa and Sandeep have?""}}, ""outputs"": {""final_answer"": ""8322"", ""debug_count"": 0, ""response"": ""Multi-agent system with 0 debug iterations""}, ""session_id"": ""46bc5fcc-44ff-466e-9a4c-acd3349989d4"", ""error"": null, ""extra"": {""metadata"": {""revision_id"": null, ""num_repetitions"": 1, ""example_version"": ""2025-07-29T10:58:07.097016+00:00"", ""ls_method"": ""traceable"", ""LANGCHAIN_TRACING"": ""false"", ""LANGSMITH_PROJECT"": ""MathQA"", ""ls_example_dataset_split"": [""base""], ""ls_run_depth"": 0}, ""runtime"": {""sdk"": ""langsmith-py"", ""sdk_version"": ""0.3.45"", ""library"": ""langsmith"", ""platform"": ""Windows-10-10.0.19045-SP0"", ""runtime"": ""python"", ""py_implementation"": ""CPython"", ""runtime_version"": ""3.12.7"", ""langchain_version"": ""0.3.25"", ""langchain_core_version"": ""0.3.65""}}, ""run_type"": ""chain"", ""id"": ""d88f94b7-2243-4fee-a462-f66bd9bb0ab9"", ""status"": ""success""}",success,,1.97930789,797,0.00014655,1
078eefee-df7b-4235-bb97-662240ff4ef3,"{""context"": ""| Column 1 | Column 2 |\n| --- | --- |\n| marinara sauce | $4/lb |\n| tomato sauce | $7/lb |\n| chicken sauce | $7/lb |\n| pesto sauce | $5/lb |\n| alfredo sauce | $3/lb |\n"", ""question"": ""Alexandra went to the store and bought 2.2 pounds of marinara sauce. How much did she spend?""}","{""answer"": ""8.8""}","{""final_answer"": ""8.8"", ""debug_count"": 0, ""response"": ""Multi-agent system with 0 debug iterations""}","{""inputs"": {""inputs"": {""context"": ""| Column 1 | Column 2 |\n| --- | --- |\n| marinara sauce | $4/lb |\n| tomato sauce | $7/lb |\n| chicken sauce | $7/lb |\n| pesto sauce | $5/lb |\n| alfredo sauce | $3/lb |\n"", ""question"": ""Alexandra went to the store and bought 2.2 pounds of marinara sauce. How much did she spend?""}}, ""outputs"": {""final_answer"": ""8.8"", ""debug_count"": 0, ""response"": ""Multi-agent system with 0 debug iterations""}, ""session_id"": ""46bc5fcc-44ff-466e-9a4c-acd3349989d4"", ""error"": null, ""extra"": {""metadata"": {""revision_id"": null, ""num_repetitions"": 1, ""example_version"": ""2025-07-29T10:58:07.097016+00:00"", ""ls_method"": ""traceable"", ""LANGCHAIN_TRACING"": ""false"", ""LANGSMITH_PROJECT"": ""MathQA"", ""ls_example_dataset_split"": [""base""], ""ls_run_depth"": 0}, ""runtime"": {""sdk"": ""langsmith-py"", ""sdk_version"": ""0.3.45"", ""library"": ""langsmith"", ""platform"": ""Windows-10-10.0.19045-SP0"", ""runtime"": ""python"", ""py_implementation"": ""CPython"", ""runtime_version"": ""3.12.7"", ""langchain_version"": ""0.3.25"", ""langchain_core_version"": ""0.3.65""}}, ""run_type"": ""chain"", ""id"": ""2671c555-c7a4-4ff9-8857-8d275a99b237"", ""status"": ""success""}",success,,2.282360077,813,0.00015615,1
07ec4446-0546-4518-80a3-144c0b96cf09,"{""context"": ""Number of cars\n\n| Day | Number of cars |\n| --- | --- |\n| Thursday | 158 |\n| Friday | 159 |\n| Saturday | 164 |\n"", ""question"": ""Paula's family went on a road trip and counted the number of cars they saw each day. How many cars in total did they see on Friday and Saturday?""}","{""answer"": ""323""}","{""final_answer"": ""323"", ""debug_count"": 0, ""response"": ""Multi-agent system with 0 debug iterations""}","{""inputs"": {""inputs"": {""context"": ""Number of cars\n\n| Day | Number of cars |\n| --- | --- |\n| Thursday | 158 |\n| Friday | 159 |\n| Saturday | 164 |\n"", ""question"": ""Paula's family went on a road trip and counted the number of cars they saw each day. How many cars in total did they see on Friday and Saturday?""}}, ""outputs"": {""final_answer"": ""323"", ""debug_count"": 0, ""response"": ""Multi-agent system with 0 debug iterations""}, ""session_id"": ""46bc5fcc-44ff-466e-9a4c-acd3349989d4"", ""error"": null, ""extra"": {""metadata"": {""revision_id"": null, ""num_repetitions"": 1, ""example_version"": ""2025-07-29T10:58:07.097016+00:00"", ""ls_method"": ""traceable"", ""LANGCHAIN_TRACING"": ""false"", ""LANGSMITH_PROJECT"": ""MathQA"", ""ls_example_dataset_split"": [""base""], ""ls_run_depth"": 0}, ""runtime"": {""sdk"": ""langsmith-py"", ""sdk_version"": ""0.3.45"", ""library"": ""langsmith"", ""platform"": ""Windows-10-10.0.19045-SP0"", ""runtime"": ""python"", ""py_implementation"": ""CPython"", ""runtime_version"": ""3.12.7"", ""langchain_version"": ""0.3.25"", ""langchain_core_version"": ""0.3.65""}}, ""run_type"": ""chain"", ""id"": ""7644ad5e-90c3-4ed5-88ae-e658f36e00e0"", ""status"": ""success""}",success,,2.113119841,990,0.0001509,1
